avano	haveneau, havenet
si_nécessaire	si_besoin_est, s’il_en_est_besoin
agricole	agraire, paysan, agronomique
proxy	serveur_mandataire
plain-chant	chant_grégorien
cuprèbe	éthylène-bis-dithiocarbamate_de_cuivre
stewardess	hôtesse_de_l’air
tuberculiniser	tuberculiner
franchissement	passage
sodomisme	sodomie
hypermétropie	hyperopie
jardinier	horticulteur
lançable	jetable
frein_à_main	frein_de_parking, frein_de_stationnement, brake_à_bras
présent_progressif	présent_continu
prout	proute
hydroxyde_de_calcium	chaux_éteinte, dihydroxyde_de_calcium, hydrate_de_calcium, chaux_hydratée
ralenti	slow_motion
innover	inventer, créer
année-homme	personne-année, homme-année, année-personne
embouchoir	embauchoir
chinoiser	ergoter, chicaner, pinailler
arbre_des_pagodes	arbre_aux_quarante_écus
chélateur	chélatant
nullement	pas, aucunement, du_tout
alloué	tressaillerait
Sopalin	papier_absorbant, papier_essuie-tout
mélancolique	morne, triste, cafardeux
documenter	sourcer
briser_les_noix	casser_les_couilles
dithyrambique	flatteur, élogieux, louangeur, laudatif
hispanité	hispanisme
céruse	carbonate_de_plomb, blanc_d'argent, blanc_de_Saturne, blanc_de_plomb
péteux	péteux_de_broue
flutolanil	α,α,α-trifluoro-3'-isopropoxy-o-toluanilide, NNF_136
roulage	charroyage
phlébite	thrombose_veineuse_profonde, thrombophlébite
contrairement	au_contraire
avionnette	aéronette, avionneau
interview	entrevue
dépouiller_le_vieil_homme	se_dépouiller_du_vieil_homme
enfoncer_le_clou	rajouter_une_couche
clinozoïsite	clinoépidote, épidote-gris, aluminium-épidote, fouquéite
propiconazole	CGA_64250
menée	agissements, intrigue, manœuvre
misanthropie	apanthropie, anthropophobie
manchon	passe-câble, bague, douille, anneau
caraïbéen	caraïbe
ményanthe	trèfle_d’eau
fille_soumise	putain, pute, fille_publique, péripatéticienne, Marie-Madeleine, fille_de_joie
trisomique	mongol, mongolien
hydrater	humidifier
œnoscope	vinoscope, vinomètre, pèse-vin
comme_des_sardines	comme_des_harengs, comme_des_harengs_en_caque, comme_harengs_en_caque
cheminée_de_fée	demoiselle_coiffée, hoodoo, pyramide
à_ras	rasibus
graffeur	bombeur, tagueur, graffiteur
carbétamide	phénylcarbamoyloxy-2_N-éthylpropionamide_isomère_D, 11.561_RP
giclement	éclaboussement
Sète	île_singulière, île_bleue
crise_de_nerfs	décompensation
pareil	semblable, similaire, identique, pair
manchot	unibrassiste, manchois
saturnienne	ligne_de_destinée, ligne_de_chance
rétractile	rétractable
onagre_bisannuelle	jambon-des-jardiniers, jambon_de_Saint-Antoine, raiponce_rouge, primevère_du_soir
orvet	anvot, angot, anvain
bisexe	monoïque
détruire	anéantir, démonter, annihiler, défaire, supprimer, tuer
nécessairement	forcément, incontestablement, inéluctablement, absolument, indubitablement, assurément, certainement, fatalement, immanquablement, indispensablement
chènevière	canebier, canebière
humanoïde	androïde
ouille	aïe
holothurides	holothuroïde
martingaler	martingaliser
cas_grammatical	cas
rasservir	réasservir
en_viarge	en_hostie, en_ta, en_tabarnak, en_chien, en_saint-ciboire, en_câlisse, en_ciboire, en_taboire
fluazifop-P-butyl	butyl_(R)-2,4_(5-trifluorométhyl-2-pyridoxy)_phénoxy_propionate
pentadimensionnel	quintadimensionnel, quintidimensionnel
arginine-vasopressine	antidiurétique, antidiuretic, ADH, vasopressine, AVP, hormone
cottidé	chabot, cotte
tenir_lieu	faire_office
baudroie	lotte, crapaud_de_mer, diable, lophie, marache, saillot
dégravoyer	déchausser
barrit	barrissement, barrir
scénarimage	story-board, storyboard
barrir	baréter
transsubstantiation	changement, transformation
hirondeau	arondelat
dialecte	patois
synectique	remue-méninges, brainstorming
perruque	pèrruque, coiffure_de_faux_cheveux, jersiais, moumoute, postiche
Anthée	Saturne_XLIX, S/2007_S_4
réémigrer	réexpatrier
mettre_en_danger	mettre_en_péril
pocléphile	copocléphile
cousin_à_la_mode_de_Bretagne	cousin_germain
4%C2%BA	quatrièmement
restapler	ristapler
octante-deux	quatre-vingt-deux
baisage	baisement, foutage
branque	cinglé, fada, brindezingue, maboul
Meldois	Meldien
Dampierre	Dampierre-sur-Aube
sous_couvert	sous_prétexte_de
empégué	ivre, soûl, torché, démonté, aviné, frit, mort, saoul, bourré, défait, pété
corps_vitré	corps_hyalin, humeur_vitrée
coopératif	coopérant
jumart	baf, bif
ver_solitaire	ténia, tænia
coupailler	coupasser
perpendiculaire	orthogonal
moineau_friquet	moineau_des_champs
galérer	ramer
marque_commerciale	marque_de_commerce, marque_déposée
roméine	roméite
lamier_pourpre	lamier_rouge, ortie_rouge, ortie_morte
putrescible	putréfiable
bourguignote	pot-en-tête
cybercensure	cyber-prohibition, cyber-condamnation, filtre, cyber-contrôle
campaniste	fondeur, carillonneur
photogramme	image
pour_lors	alors
refactoriser	réusiner
électromécanicien	mécatronicien
farrago	dragée
faire_l’œuf	faire_le_jacques
instiguer	inciter
griffon	grype
calibration	étalonnement, étalonnage
petit_ami	copain, chum, petit_copain, concubin, compagnon
ébrasure	ébrasement
actinium	émanium, mésothorium_II, MsTh2, MsThII
inintentionnellement	involontairement
baliste	cochon_de_mer
envoyer_chier	envoyer_promener
invariablement	continuellement, constamment, immuablement, sans_cesse
sodomiste	homosexuel
cytopathologie	pathologie_cellulaire, cytologie_pathologique
à_contrecœur	à_reculons, à_son_corps_défendant
tai_lü	lü, sipsongsanna
ektara	gopichant, tumbi, tuntina, yaktaro
halant	tueur, virama
tébufenpyrad	N(4-t-butylbenzyl)-4-chloro-3-éthyl-1-méthyl-pyrazole-5-carboximide
saccharose	sucrose
avoir_la_haute_main	tenir_la_queue_de_la_poêle
freestyle	impro
wiktionnariste	wikidémicien
papiéter	tapisser
astreignant	éprouvant
norvégien	chat_des_forêts_norvégiennes, norsk_skogkatt
sphaigne	tourbette
grésiller	gréser
passage_à_niveau	PN
crucifiement	crucifixion
censerie	courtage
pâque	Pessah
génuflexer	génuflexionner
fines_herbes	herbes_aromatiques, herbes_fines
métier	méquier
apodytère	apodyterium
trampoline	trampolin
Yahvé	Jéhovah, Dieu, Seigneur, YHWH, יהוה, Éternel
frite	pomme_de_terre_frite, pomme_frite
à_tes_amours	à_tes_souhaits
daillot	andaillot
sériciculteur	sériculteur
jacobinisme	souverainisme
anéantissement	ruine, disparition, mort, abattement, destruction, effondrement, éversion
fritz	Teuton, Allemand, fridolin, chleuh, frisou, frisé, boche
cacophonie	dissonance
porter_amitié	porter_affection
houlque	houque
réoffrir	roffrir
ne_pas_casser_des_briques	ne_pas_avoir_inventé_le_fil_à_couper_le_beurre, pas_de_quoi_en_faire_un_fromage_(il_n'y_a), ne_pas_casser_trois_pattes_à_un_canard
ficher_le_camp	foutre_le_camp
importer	chaloir
réhypnotiser	rehypnotiser
ancêtres	aïeux, parents
normopathe	mouton_de_Panurge, normopathique
illusion	trompe-l’œil, mirage, fantasmagorie
paranéoptères	hémiptéroïdes
fracturation_hydraulique	fracking, hydrofracturation
secouer_les_oreilles	se_taper, se_foutre
épsomite	seelandite, reichardite
hésiter	balancer
cuillère_à_café	petite_cuillère
cerise_sur_le_gâteau	cerise_sur_le_sundae
Ophélie	S/1986_U_8, Uranus_VII, Ophélia
24-cellules	icositétrachore
tulliste	tullois
oliban	encens_mâle, arbre_d’encens, arbre_à_encens
Ophélia	Ophélie
familier	langage_de_charretier, familial, impoli, intime, accoutumé, commun, proche, coutumier, ami
intersexué	intersexe, intersexuel
pixelliser	mosaïquer
friterie	friture, patate, frite, roulotte, baraque
frise	bandeau
bouche_béante	bouche_bée
cagnard	cagibi
sur_les_talons	de_près
trombe_marine	trombe_d'air_froid, trombe_tornadique, tornade
doline	sotch
arabe_marocain	darija
lupifluvien	loupien, fraservillien, loupérivois, ripelouvois, louprivois, louperivois, rivolupien
eau_de_mélisse	eau_des_Carmes
sonner_les_cloches	agonir, réprimander, gourmander
toilette	chiottes, tartisses, w.-c., water-closet, commodités, cagoinces, gogues, lieu_d’aisance, buen-retiro, latrine, feuillées, petit_coin, trône, cabinet
endogamique	endogame
nitralin	méthylsulfonyl-4_dinitro-2,6_N,N-dipropylaniline
bovinés	bovins
marée_basse	étale_de_basse_mer, basse_mer
hypophysaire	pituitaire
sens_devant_derrière	sens_dessus_dessous
puceau	vierge
cisalpiniser	fructidoriser
chanson_de_geste	geste
mouillé	humidifié, allongé, humecté, trempé
zygène_de_la_bruyère	zygène_de_la_petite_coronille, zygène_de_la_coronille
réappointir	rappointir
e_muet	schwa, e_caduc
trafiquant	contrebandier
reprendre_sous_œuvre	reprendre_en_sous-œuvre
gratis	gratuitement
veillée_pascale	nuit_pascale, vigile_pascale
abasourdir	éberluer, méduser, interloquer, choquer, atterrer, étonner, sidérer, stupéfier, ébaubir, hébéter, ébahir, consterner, pétrifier
tatasse	tatillon, tâta-cul_de_polaille, tatasse-mes-glaines, tatasser, homosexuel
photochromique	photochromatique
bécassine	bequot, borgniat
pileus	piléus
dévoyer	désorienter, détourner, dérouter, dévier
bagdadi	bagdadien
pileux	pilaire
raisin_d’ours	arbousier_traînant
polisseur	polissoir
Angmagsalik	Ammassalik
écorchure	égratignure
à_l’extrême	excessivement, outre_mesure, à_l’excès, démesurément
trainailler	trainasser, traînasser
jeter_un_froid	mettre_un_blanc
à_prix_d’or	à_feu_d’argent
plaignard	geignard
hétérocentré	hétéronormé, hétérosexiste
caisse_primaire_d’assurance_maladie	CPAM
pèse-alcool	aéromètre, alcoomètre, pèse-vin, densimètre, pèse-esprit
se_rouler_les_pouces	glander
mettre_en_ligne_de_compte	imputer
de_ce_pas	immédiatement, aussitôt, tout_de_suite, illico_presto, à_l’instant, sur_le_champ, sans_délai, illico, sur_l’heure
contrevent	contreventement
pondéré	mesuré, modéré, coefficienter
endo-	en-
jusquiame	hanebane
en_ce_qui_concerne	quant_à, concernant, quant_aux
badmintonneur	badiste
yacouba	dan, gio
clystérophilie	klysmaphilie
joint	oinj, pète, zouz, cône, splif, articulation, pétard, rondelle, tarpé, bédo, sdar, fixation, raccord, buzz
graton	friton, grillon
Salvadorègne	Salvadorien
tétraédral	tétraédrique
Guyane_néerlandaise	Guyane_hollandaise
pourrisseur	empoisonneur
organite	organelle
colécalciférol	(3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-trien-3-ol, vitamine_D3, (5-Z,7E)-(3S)-cholesta-5,7,10(19)-trien-3-ol
aqu-	water-, hydro-
judicieusement	intelligemment
New_York	Gotham, État_de_New_York, ville_de_New_York, ville_qui_ne_dort_jamais, Grosse_Pomme
Vanuatu	Nouvelles-Hébrides
identité_de_genre	dentité_sexuée, identité_sexuelle
parcellariser	parcelliser
rematricer	remasteriser, remastériser
aller_se_faire_cuire_un_œuf	lâcher_la_grappe, aller_se_faire_voir, foutre_la_paix
prendre_en_chasse	donner_chasse
fausset	voix_de_tête, falsetto
sein	flotteur, obus, mamelle, téton, nibard, boîte_à_lait, robert, doudoune, lolo, nichon, miche, boîte_à_lolo, melon, tété, néné
questionnaire	tortionnaire, bourreau
cajun	cadien, cadienne
écrevisse_de_Murray	Cherax_destructor
vindas	cabestan
fausser	gâter, bossuer, tordre, dénaturer, déformer, déguiser, corrompre, courber, altérer
excrétion	évacuation, élimination
côtière	ados
angoumois	angoumoisin
acide_acétique	acide_méthylformique, acide_éthanoïque, acide_acétique_glacial
lauze	lave
pousse-pousse	vélopousse, rickshaw, cyclopousse, pousse
girafon	girafeau
usuel	d’usage
traquet_tarier	tarier_des_prés, croulard
laisse_bruler_ce_qui_ne_cuit_pas_pour_toi	entre_l’arbre_et_l’écorce_il_ne_faut_pas_mettre_le_doigt
se_casser_la_paillasse	se_casser_le_maffre, se_crever_le_bédélet, se_décarcasser, se_casser_le_baigneur, se_casser_la_nénette, se_fendre_le_cul_en_quatre, se_casser_le_cul, se_casser_le_tronc
mal_bâti	bancroche, difforme, contrefait
grunge	destroy
ressayer	réessayer
suranné	obsolète, caduc, désuet, périmé
prendre_garde	faire_attention, se_méfier, faire_gaffe
arpeggione	guitare-violoncelle, guitare_d’amour
alcyonaire	octocoralliaire
élever	éduquer, hausser
donner_des_signes_d’embarras	donner_des_signes_d’impatience, donner_des_signes_d’inquiétude
corticotrophine	hormone_corticotrope, corticostimuline, ACTH, adrénocorticotrophine, hormone_adrénocorticotrope
bouzouki	bozuq, bouzouk, bozoq, tzouras, buzuq
pedigree	généalogie
lymantridé	orgye
poulsard	mescle
frumental	céréalier
latin_tardif	bas-latin
lutéal	lutéinique
valoriser	mettre_en_valeur
moustelle_brune	mostelle, phycis_de_roche, mostelle_de_fond
gorgerin	hausse-col
sourd	malentendant, non_voisé
mouchetis	crépi_moucheté, enduit_tyrolien, crépi_tyrolien
colaspidème	colaspe_des_luzernes, négril
être_sur_son_trente-et-un	endimanché
hydroxyde_de_sodium	soude_caustique
empailler	naturaliser
aloès	amer, chicotin
incendier	surexciter, mettre_le_feu, brûler, disputer, enflammer
quahog	Mercenaria, clam
réhybrider	rehybrider
Samarie	Sébaste
paresse	fainéantise
constructionnisme	existentialisme
pédibus	bus_pédestre
tirer_à_sa_fin	prendre_fin
portnawak	nawak
feuilletonesque	feuilletonin
concomitance	coïncidence
rallier_au_vent	rallier_le_vent, pincer_le_vent, tenir_le_vent
lait_UHT	lait_VHT
bleu_de_fécule	bleu_d’amidon
manger_une_volée	sacrer_une_volée
bouqueton	bouqueteux
acide_sorbique	E200, acide_malique
marave	baston
macache	macache_bono, macache_bonbon, que_dalle, nib
calquage	décalquage, calque
vagabond	sans_domicile_fixe, trimard, clochard, trimardeur, truand, mendiant, va-nu-pieds, SDF, clodo, sans-foyer, traîne-bâton, traîne-savate, miséreux, patassot
transportabilité	transférabilité
aiglette	alérion
réfutabilité	falsifiabilité
LGBTI-friendly	LGBTIQ-friendly, gay-friendly, allosensible
pedibus_jambus	pedibus_cum_jambis
sodomiser	empaffer, entuber, doigter, emproser, empaler, téléphoner_aux_congolais, mettre_dans_le_petit, faire_un_swing_au_deuxième_trou, pédiquer, rouler_à_contre-sens, fister, empapaouter_son_moule_à_cake, gamahucher, empapaouter, défoncer_la_boite_à_cachous, empétarder, enculer, endauffer, emmancher, taper_dans_le_tas_de_charbon, enfifrer, shooter_dans_la_boîte_d'Ovomaltine, mazouter_le_pingouin, embourber_le_4x4, se_faire_chocolater_le_Kinder, enviander
défraîchir	sécher, faner, flétrir
commandeur_des_croyants	miramolin
web_visible	web_surfacique, web_de_surface, web_indexable
intermède	interlude
Wahabite	Saoudien, Seoudien
être_game	en_avoir_deux, en_avoir, avoir_du_guts, oser, avoir_des_tripes, avoir_des_couilles, être_couillu, avoir_des_couilles_au_cul, avoir_du_cœur_au_ventre, avoir_du_sang_dans_les_veines
compliquer	embrouiller, complexifier, obscurcir
chlortoluron	(chloro-3_méthyl-4_phényl)-1_diméthyl-3,3_urée
ampélidacée	vitacée
analcime	analcidite, analcine, cuboite, euthalite, cubicite
marotte	fixation, idée_fixe, manie, hantise
orthoxyquinoléine	8-hydroxyquinoléine
gratte	charrue
self	inductance
écaille_rose	écaille_hébé
ers_lentille	lentille_erviliaire, lentille_bâtarde
il_était_une_fois	il_y_avait_une_fois
architectural	architectoral
bébite	bibite
second_couteau	porte-flingue
enregistreur_de_vol	boîte_noire
jacaranda	palissandre
avoir_la_tête_en_l’air	être_dans_la_lune
hydrolyse	électrolyse
plaque_d’égout	regard_de_chaussée
antarctique	austral, méridional
poéticalité	poésie
milady	lady
gucher	gueucher, jucher
pleuvoir_à_seaux	mouiller_à_siaux, pleuvoir_à_verse, mouiller_à_seaux, pleuvoir_à_siaux, mouiller_à_verse
homocentrique	concentrique
ratiboiser	tondre
hydroensemencer	hydrosemer
revanchard	revanchiste
carasson	carassonne
bombyx_atlas	Atlas
capricant	caprisant
anthropophagie	cannibalisme
unanimement	complètement, absolument, totalement, entièrement
abélonien	abélite, abélien, abéloïte
serveur	garçon, garçon_de_café
félicitations	bravo
nombre_naturel	entier_naturel
mélimélo	embrouillamini
appelant	appeau
antihydrophobique	antilyssique, antirabique
muflier_à_larges_feuilles	gueule-de-loup_à_larges_feuilles
pourtant	néanmoins, parfois, cependant, mais
contraire	défavorable, opposé
Pyrenophora_graminea	Drechslera_teres_subsp._graminea, Brachysporium_gracile_var._gramineum, Napicladium_hordei, Drechslera_graminea, Helminthosporium_gramineum, Pleospora_graminea, Pyrenophora_teres_subsp._graminea
avoir_les_jetons	avoir_la_trouille, chier_dans_son_froc, avoir_peur, avoir_la_chienne, avoir_les_chocottes, avoir_la_frousse
endopodite	rame_interne, endopode
peureusement	couardement
crier_comme_un_fou	crier_comme_si_on_l’écorchait, crier_comme_un_enragé, crier_à_pleine_tête, crier_comme_un_perdu, crier_comme_un_aveugle_qui_a_perdu_son_bâton, crier_à_tue-tête, crier_comme_un_beau_diable
pantophage	omnivore
plaignant	demandeur
mysticète	mysticeti
maraudeur	fricoteur
hydropathie	hydrothérapeutique, hydrothérapie
verbigération	logorrhée, blabla, verbiage, blablabla
mégacatastrophe	cataclysme
petite_roussette	saumonette, chat_rochier, rocher, chat_de_mer, chat_marin
Cameroun	République_unie_du_Cameroun, République_du_Cameroun, République_fédérale_du_Cameroun
chinchard_commun	maquereau_bâtard, caringue, maquereau_anglais, saurel_commun_de_l'Atlantique
pain_de_coucou	petite_oseille, surelle
weblogue	blogue
papier_bulle	film_bulle, bulle
louvoiement	louvoyage
adrénergique	sympathomimétique
tenir_note	prendre_note
occlusive	plosive
paille	défaut, blond, crapaud
nocible	dommageable, nuisible
macrobiotisme	macrobiotique
vainement	impuissamment, en_vain, inutilement
dragonnier	dracena, dracéna
avoir_les_dents_longues	requin, ambitieux, carriériste, avoir_les_dents_qui_rayent_le_parquet, avide, jeune_loup_aux_dents_longues
entartement	entartage
gaélique_irlandais	irlandais
ceinture_de_Neptune	baudrier_de_Neptune
locatif	prépositionnel
S/1986_U_8	Ophélie, Uranus_VII
S/1986_U_7	Cordélia, Uranus_VI
saisir_la_balle_au_bond	prendre_la_balle_au_bond
prendre_une_attitude	prendre_une_posture
S/1986_U_9	Uranus_VIII, Bianca
pleuvoir_comme_à_Gravelotte	pleuvoir_à_verse
mettre_au_jour	dévoiler, révéler, découvrir, divulguer
acéto-arsénite_de_cuivre	vert_de_Paris
fisétine	fisétol
pédaler_dans_le_couscous	pédaler_dans_la_semoule, pédaler_dans_le_yaourt, pédaler_dans_la_cancoillotte, pédaler_dans_la_choucroute
S/1986_U_2	Juliette, Uranus_XI
S/1986_U_1	Uranus_XII, Portia
S/1986_U_4	Rosalinde, Uranus_XIII
perte_de_connaissance	évanouissement
S/1986_U_3	Uranus_IX, Cressida
OOoBasic	StarBasic, StarOffice_Basic
au_minimum	au_moins
S/1986_U_6	Uranus_X, Desdémone
S/1986_U_5	Bélinda, Uranus_XIV
déçue	défaillerait
cachetonner	courir_le_cachet
vierge	immaculé, madone, homme, puceau, notre-dame, pucelle
ciment	lien, liant
persil_sauvage	aethuse, ciguë_blanche, cerfeuil_des_bois, éthuse, petite_ciguë, anthrisque_sauvage, persil_de_chien
désespérément	inconsolablement, éperdument, farouchement
panifuge	pshitt, pschitt
ahistorique	intemporel, anhistorique
houspiller	chahuter, gronder
gonzesse	tante, nana
diffamant	calomnieux, médisant
Saturne_XXXVI	Ægir, S/2004_S_10, S_XXXVI
copyvio	droit_d’auteur, copyright, violation
haridelle	rosse
humidifier	humecter
godillot	savate, croquenot, godasse, brodequin, grolle, pompe, tatane
distillerie	brûlerie
rien_ne_va_plus	les_jeux_sont_faits
collectivité_locale	collectivité_territoriale
mélophage	Melophagus_ovinus, pou_du_mouton
anœstrus_post-partum	anœstrus_de_lactation
mal_de_tête	mal_à_la_tête
aller_à_la_dérive	être_en_dérive
bloc_de_béton	parpaing, bloc_béton, agglo, aggloméré
prêcher_un_converti	prêcher_un_convaincu
fouillis	capharnaüm
ras_la_gueule	à_ras_bord, pleinement, rasibus
prestation	service
taper_dans_le_nombril	se_gourer
aimer_à	aimer_de
illusoire	faux, imaginaire, chimérique
rabassier	rapassier, caveur, rabassaire
importé	immigrant, immigré
adage	sentence, maxime, proverbe, dicton
dompter	domestiquer, dresser, apprivoiser
méthoprène	isopropyl_(E,E)-(RS)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoate, (E,E)-1-methylethyl_(2E,4E)-11-methoxy-3,7,11-trimethyl-2,4-dodecadienoate
difenzoquat	sulfate_de_1,2-diméthyl-3,5-diphényl_pyrazolium_méthyl
sexe	genre, cul
point_de_croix	point_compté
amourerie	jouissement
lieu_noir	colin, merlan_vert, goberge, colin_noir, greslin, églefin, merluche, grelin, lieu
layon	hayon
banderole	calicot
Christ	Jésus, Sauveur, Rédempteur, messie, Notre-Seigneur, Jésus-Christ, rédempteur, J.-C., Messie
rallonge	allonge
muscle_élévateur_de_l’angle_de_la_bouche	canin
salon_de_beauté	institut_de_beauté
marais	marchais, marécage
manifestation	démonstration, rassemblement, expression, témoignage, évènement, manif, protestation, signe, marque, événement
risque	danger
musulmanophobe	islamophobe
sphalérite	zinc-blende, brunckite, calaem, zinc_sulfuré, blende, pseudo-galène, marasmolite
mobilier_urbain	mobilier_de_rue
massepain	pâte_d’amande
hydrosulfureux	tétraoxodisulfique
anesthésie_générale	AG
resto-pub	restaurant-pub
rassortir	réassortir
méthylbenzène	toluène, phénylméthane
messagerie_rose	minitel_rose
iodothymol	diiodothymol, dithymol_di_iodé, aristol, dithymol_diodé, iodure_de_thymol, thymol_iodide
ardu	dur, rude, difficile, épineux, revêche, tendu, escarpé, pénible, raide
ombrophile	pluvial
sex-	hex-
arer	labourer
improuvable	indémontrable
garance	purpurin, rouge
maison_de_club	club-house, clubhouse
épicéa_de_Sitka	épinette_de_Sitka
mythomanie	fantastica, fabulation, pseudologia
préférentiel	favori, prioritaire
élever_au_carré	carrer
raller	retourner, réer, râler, raire
glossonyme	glottonyme
airée	saumonette, chien_de_mer
chouette_harfang	harfang_des_neiges
trottoir	usoir
aussi	pareillement, ainsi, également, en_plus, autant, de_même
terre_de_Sommières	montmorillonite, terre_à_foulon
panure_à_moustaches	mésange_à_moustaches
petit_monarque	monarque_africain, petit_monarque_d'Afrique
brocciu	brousse
paraquat	diméthyl-1_1’dipyridylium-4-4’
sac_lacrymal	dacryocyste
groupement	regroupement
passériformes	oiseaux_chanteurs, oiseaux_percheurs, passereaux
maigre	mince, efflanqué
slavon	vieux_slave
bassa	pacha
vanterie	vantardise
citronnelle	schénante, herbe_Louise, citronnelle_de_l’Inde, herbe_citron, verveine_odorante, aloyse_citronnée, verveine_triphylle, verveine_à_trois_feuilles, thé_arabe, verveine_citronnelle, verveine_citronnée, verveine_des_Indes, verveine_du_Pérou, jonc_odorant, lippie
arobas	arrobe, a_commercial
travail_au_noir	travail_dissimulé, travail_clandestin
prééclampsie	toxémie_gravidique
crèmerie	bar_laitier
mésaise	malaise
vélo_de_montagne	mountain_bike, VTT, vélo_tout_terrain
retour_chariot	CR
marchandisation	économisation, mercantilisation, commercialisation
antisalle	avant-salle
exploser	déflagrer
on_ne_sait_d’où	par_la_grâce_de_Dieu, par_l’opération_du_Saint-Esprit
aïeaïeaïe	ouillouillouille
serrer_la_main	serrer_la_pince
saucissonner	débiter
se_croire_sorti_de_la_cuisse_de_Jupiter	se_croire_le_premier_moutardier_du_pape
mouette_ivoire	mouette_blanche, goéland_sénateur
molécule	corps_composé
creusement	creusage
blouson	veston
avoir_un_poil_dans_la_main	avoir_les_côtes_en_long, palmaire, avoir_un_baobab_dans_la_main, atteint, hypertrichose
poka-yoké	anti-erreur, détrompeur
La_Roche-sur-Yon	Napoléon-Vendée, Bourbon-Vendée
se_faire_brasser_le_Canayen	se_faire_appeler_Arthur, se_faire_remonter_les_bretelles, se_faire_secouer_les_puces, se_faire_secouer_comme_un_prunier
gonfler	enfler, coufler
habileté	adresse, capacité
microflore	microbiote
conte_de_bonnes	histoire_pour_enfants
araignée_épineuse	crabe-araignée, araignée_marine, araignée_de_mer
kamala_rouge	kamala
formant	crément
xénophonien	xénophonique
lait_concentré	lait_évaporé, lait_condensé
parodontologiste	parodontologue, parodontiste, périodontiste
giclée	éclaboussure
circuit	boucle, déplacement, itinéraire
mâchouiller	mordiller, mâchonner
résinodor	gomodor, oléorésine, résinoïde
compétiter	compétitionner, concurrencer
niobium	columbium
estradiot	argoulet, dragon
Proton	SL-12, UR-500, SL-13, D-1
siège	derrière, cul, blocus, fondement
calendrier	almanach
vandalique	vandale
leptokurtique	sous-gaussien
dégotter	dénicher
cessez-le-feu	trêve, armistice
notation_atomique	notation_chimique
grande_cuiller	cuiller_à_soupe, cuiller_à_bouche, cuiller_à_table
framework	cadre_d’applications, cadriciel
avenir	futur
renard_de_Rüppell	renard_famélique
dérobotisation	déshumanisation
sur_le_plan	au_niveau, pour
par_terre	à_terre
gurhofite	geldolomite, protodolomite
ophidiidé	donzelle
désinféoder	affranchir, libérer
Aventin	mont_Aventin
tête_de_lard	tête_d’enclume
crèneler	indenter
métrorragie	pertes_rouges
estolien	ceriséen, ceriséenne
coupe-feu	pare-feu, garde-barrière
nationaux	citoyen
chiendent_pied_de_poule	chiendent_dactyle, cynodon_dactyle, cynodon
d’emblée	de_plein_saut, premier, coup
Tonga	îles_des_Amis
sulfovinique	œnothionique
hypoallergénique	hypo-allergène, hypoallergène, anallergique
mortellement	extrêmement
basin	bombasin
résurrectionniste	profanateur
houligan	vandale, casseur
ajutage	ajoutoir
reharnacher	réharnacher
rosserie	perfidie, crasse, vacherie, saloperie
sacoche	bourse, sac_à_main
têtu	bourrique
anthologiste	anthologue
enverguer	rabanter
téléobjectif	objectif_de_longue_focale
myrmidon	fourmilier_nain, lèche-main
liturgie	culte, messe
faire_peur	horrifier, intimider, terroriser
quartz_hyalin_concrétionné	fiorite
largué	à_la_rue
tête	scolex, chou, chef, tronche, fiole, citron, ténia, caboche, gueule, carafe, boule, bocal, calebasse, cafetière, ciboulot
monopanglotte	Gagne-monopanglotte
noix_de_palme	palmiste
policier	polar, kisdé, agent, poulaga, porc, C.B., papa_22, chien, gardien_de_la_paix, flic, mort_aux_vaches, bleu, poulet, agent_de_police, cogne, cake, condé, keuf, vandame, bœuf, sergent_de_ville
chargeur_d’amorçage	bootloader
lumpenproletariat	sous-prolétariat
lépidolite	lithionite
masse	prise_de_terre
anétique	parégorique
linuron	3-(3,4-dichlorophenyl)-1-methoxy-1-methylurée, N’-(dichloro-3,4_phényl)_N-méthoxy_N-méthyl_urée
roi_des_animaux	lion
devancier	ancêtres, aïeux, antécesseur, prédécesseur
redévêtir	redéshabiller
Pantone_Matching_System	PMS
fouiller	rechercher, chercher
regarder_en_face	regarder_entre_les_yeux
baie_de_Tongjos�?n	baie_de_Corée_orientale
huette	hulotte, chat-huant, huet
néphrosclérose	néphro-angiosclérose
rassasier	assouvir, contenter
changeable	modifiable
croûter	crouler, casser_la_croûte, coucouanner, bouffer, becter, grailler
neurologiste	neurologue
contre-saint-ciboiriser	s’en_battre_les_couilles, s’en_foutre, s’en_battre_l’œil, crisser, sacrer, s’en_torcher, contrefoutre, câlisser, foutre, s’en_moquer, s’en_ficher, s’en_branler
acrylamide	amide_acrylique
colère	courroux, bronca, rage, fureur, pétard, ire
webalogue	web-catalogue
puissamment	beaucoup, énormément, fortement, extrêmement, fort, infiniment, vigoureusement, violemment, considérablement
colorier	coloriser
guerrier	martial, belliqueux, bellique
bouillon_blanc	cierge_de_Notre-Dame, blanc-de-mai, bouillon_jaune, herbe_à_bonhomme, molène_blanche, bouillon_blanc_commun, herbe_de_saint-Fiacre, molène_bouillon-blanc, molène_thapsus, oreille-de-loup
longboard	longskate
Afrique_équatoriale	Afrique_verte
zonier	zonard
chaos	abîme
biberon	ivrogne
Asie_de_l’Est	Asie_orientale
